9385,8438,8331,8206,7920,7586,7093,6722,6209
195818,220859,239742,253744,260456,261275,261562,262603,268750
202856,212510,215498,218111,215069,212304,206589,199218,193129
98313,112577,121300,129236,137053,141862,144106,144060,143839
97659,108889,117691,129842,139239,146010,146452,145265,142995
66941,71162,76137,78214,80035,83398,83119,81887,79687
39561,44130,49387,52283,53288,53777,52774,52460,52494
37267,40565,43132,48857,57238,69163,76923,78950,80334
35512,37361,39337,41506,42704,45466,46544,46435,44987
55152,58040,60809,63247,64344,66029,66245,66536,65320
63141,60423,59503,59273,59758,61525,61869,59802,56250
29548,30982,32436,33968,35320,35604,34602,32932,31017
48323,44332,47670,51035,51093,52074,51593,49645,47026
65105,70067,73070,75963,77782,80903,82358,81497,79409
56596,73223,97715,108365,114409,118282,115993,111327,109651
19372,27674,40164,51926,60693,66338,73258,77223,81684
78110,89506,127402,150074,168466,182327,191814,200528,214590
99627,113143,125945,135774,142402,146750,151673,153639,157060
34700,48230,51355,55924,59092,60667,62287,64435,66093
25005,27507,29075,30421,30863,32133,31944,31524,30534
12300,14505,17585,23856,36427,45821,50362,53700,62482
52500,50635,50332,50226,49670,49561,48964,47808,45178
38256,41330,44768,47388,51078,54178,55069,54705,54240
98310,104151,110846,114906,117805,118078,116120,112581,108527
48853,52460,55204,57647,58699,59738,58673,57516,56114
41443,41418,43257,44454,45326,51652,51284,49689,46895
30262,35786,38797,41306,43013,45288,45229,44603,43553
49169,50333,51171,51766,51880,51972,50334,48400,45673
49360,62690,67364,72533,77596,83171,87626,91867,94795
42589,42476,42660,43074,42990,42390,41465,40035,37611
45119,46377,47731,49056,50123,50857,50915,51054,50156
21072,25402,32917,36776,38537,40495,40532,40174,44461
36967,40536,44371,46520,48200,52041,53406,53265,52279
28956,30574,32901,35158,35651,35741,35296,35008,34513
21654,21666,21244,21047,20745,20446,19957,19205,18328
21167,20460,20461,20437,20721,21979,23007,22993,21491
18960,25151,29197,31065,31557,32727,34333,35450,37438
32953,30866,29524,28230,27067,25604,23982,22103,20073
8066,8161,13509,14162,14348,17767,18219,18118,17299
24907,29737,33720,37670,42192,45652,46922,47994,47940
11720,11657,11516,11284,11201,11726,11502,10959,10172
21945,22160,22845,24029,24351,25008,24352,23609,23106
8382,8636,8645,8593,9468,10312,10218,9873,9410
21773,24347,25696,26297,26922,27237,27171,26468,25714
8262,9504,14378,19762,20511,20202,19033,18024,17473
324216,371314,408908,439551,465162,477215,487560,502396,511739
156004,162359,165756,167656,167686,165828,163140,159756,154530
152125,160835,168423,172613,174717,174305,171755,168763,164024
118083,122296,124331,126287,128276,128099,125671,123926,121249
89196,92924,95999,98820,101098,104019,104764,104148,102348
99415,96404,97515,96634,96859,99988,98143,94291,90066
105351,120264,127226,134242,142262,150115,155198,160150,164454
57035,64424,69967,74551,79228,80643,81530,83002,82289
65232,67312,71276,74033,76406,77063,78993,79023,77729
30063,31132,32747,34582,35603,36650,36466,35685,35343
69009,77121,85436,91376,97771,105127,110828,115032,117812
32495,33323,34820,35867,36543,38289,40030,41383,44768
33539,33281,33562,33854,33699,33535,32790,31152,29206
36471,41394,43641,44912,46673,54709,57447,59132,59483
18003,23631,24597,25229,27300,27700,29421,31592,31621
19844,20657,22104,23395,24317,25255,25685,25080,24348
21978,20810,20051,19656,18934,18532,17466,16403,15018
10249,10041,10459,10821,11481,12546,12441,12401,12094
16169,16306,16669,17161,17610,17424,16988,16367,16030
25485,30791,35037,37573,39588,39823,39853,40107,39605
11983,14014,16454,18983,23676,26489,26674,25907,25720
15155,14751,14930,15148,14898,14729,14171,13462,12560
